Rank,NCT Number,Title,Recruitment,Study Results,Conditions,Interventions,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Types,Study Designs,Other IDs,First Received,Start Date,Completion Date,Last Updated,Last Verified,Results First Received,Acronym,Primary Completion Date,Outcome Measures,URL
238,NCT02678143,Nonmyeloablative Conditioning for Mismatched Hematopoietic Stem Cell Transplantation for Severe Sickle Cell Disease,Recruiting,No Results Available,Sickle Cell Disease,Drug: Alemtuzumab|Drug: Cyclophosphamide|Drug: Mycophenolate mofetil|Drug: Sirolimus|Drug: Fludarabine|Radiation: Total body irradiation|Procedure: Hematopoietic stem cell transplant,Washington University School of Medicine,All,"19 Years and older Â  (Adult, Senior)",Phase 1,20,Other,Interventional,Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment,201602019,4-Feb-16,4/26/16,5/31/20,23-Feb-17,Feb-17,No Study Results Posted,null,31-May-20,"Safety and tolerability of treatment regimen as measured by grade 3, 4, and 5 toxicities|Feasibility of treatment regimen as measured by accrual|Feasibility of treatment regimen as measured by patient compliance to treatment and follow-up|Rate of engraftment|Incidence of acute graft-versus-host disease|Incidence of chronic graft-versus-host disease|Incidence of infectious complications|Incidence of transplant related mortality|Incidence of engraftment failure|Overall survival rate|Event-free survival rate",https://ClinicalTrials.gov/show/NCT02678143
61,NCT01030900,Phase II Trial of Alemtuzumab (Campath) and Dose-Adjusted EPOCH-Rituximab (DA-EPOCH-R) in Relapsed or Refractory Diffuse Large B-Cell and Hodgkin Lymphomas,"Active, not recruiting",No Results Available,Hodgkin Lymphoma|Diffuse Large B-Cell Lymphoma,Biological: campath|Biological: Rituximab|Drug: EPOCH,National Cancer Institute (NCI)|National Institutes of Health Clinical Center (CC),All,"18 Years to 100 Years Â  (Adult, Senior)",Phase 2,50,NIH,Interventional,Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment,100011|10-C-0011,11-Dec-09,10/21/09,9/1/20,24-Jan-17,12-Dec-16,No Study Results Posted,null,1-Sep-20,PFS and OS,https://ClinicalTrials.gov/show/NCT01030900
145,NCT01465334,Ofatumumab With High Dose Methylprednisone Followed by Ofatumumab and Alemtuzumab in 17p CLL,Recruiting,No Results Available,CLL|SLL,Drug: Ofatumumab|Drug: High-Dose Methylprednisolone|Drug: Alemtuzumab,Dana-Farber Cancer Institute|National Comprehensive Cancer Network|GlaxoSmithKline,All,"18 Years and older Â  (Adult, Senior)",Phase 2,54,Other|Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment,11-304|NCCN Protocol Number: NCCN-001|GSK Protocol Number: OFT115580,18-Oct-11,11/1/11,12/1/20,25-Oct-16,Oct-16,No Study Results Posted,null,Dec-18,"Overall Response Rate (ORR)|Complete response (CR) Rate|ORR, CR Rate|Improvement in ORR, CR rate|Improvement in ORR, CR Rate during maintenance|Rate of subjects proceeding to transplant|Safety",https://ClinicalTrials.gov/show/NCT01465334
274,NCT01652092,Allogeneic Hematopoietic Stem Cell Transplant for Patients With Primary Immune Deficiencies,Recruiting,No Results Available,SCID|Omenn's Syndrome|Reticular Dysgenesis|Wiskott-Aldrich Syndrome|Bare Lymphocyte Syndrome|Common Variable Immunodeficiency|Chronic Granulomatous Disease|CD40 Ligand Deficiency|Hyper IgM Syndrome|X-linked Lymphoproliferative Disease|Hemophagocytic Lymphohistiocytosis|Griscelli Syndrome|Chediak-Higashi Syndrome|Langerhan's Cell Histiocytosis,Drug: Alemtuzumab 0.3 mg|Drug: Cyclophosphamide|Drug: Busulfan|Biological: Stem Cell Transplantation|Drug: Fludarabine phosphate 40 mg|Drug: Melphalan|Drug: Alemtuzumab 0.2 mg|Drug: Busulfan|Drug: Fludarabine phosphate 30 mg|Drug: MESNA,"Masonic Cancer Center, University of Minnesota",All,"up to 50 Years Â  (Child, Adult)",,30,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment,2012OC055|MT2012-10C,25-Jul-12,9/4/12,12/1/20,17-Feb-17,Feb-17,No Study Results Posted,null,Dec-18,Neutrophil Engraftment|Incidence of Graft Failure|Incidence of Chimerism|Incidence of Acute Graft-Versus-Host Disease|Incidence of Chronic Graft-Versus-Host Disease|Incidence of Transplant-Related Mortality|Disease-Free Survival|Overall Survival,https://ClinicalTrials.gov/show/NCT01652092
84,NCT00195624,Alemtuzumab to Treat Severe Aplastic Anemia,"Active, not recruiting",No Results Available,Relapsed or Refractory Severe Aplastic Anemia|Severe Aplastic Anemia,Drug: Alemtuzumab (Campath ),"National Heart, Lung, and Blood Institute (NHLBI)|National Institutes of Health Clinical Center (CC)",All,"2 Years and older Â  (Child, Adult, Senior)",Phase 2,47,NIH,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment,050242|05-H-0242,16-Sep-05,9/14/05,12/31/20,24-Jan-17,15-Nov-16,No Study Results Posted,null,31-Dec-18,"Response rate at six months, defined as no longer satisfying blood count criteria for SAA.|Relapse, robustness of the hematopoietic recovery at three and six months, three months responses, survival, and clonal evolution to myelodysplasia and acute leukemia.",https://ClinicalTrials.gov/show/NCT00195624
167,NCT00619528,HLA-Identical Sibling Renal Transplant Tolerance,"Active, not recruiting",No Results Available,Immunosuppression|Kidney Transplantation|Graft Rejection,Biological: Infusion of Donor Hematopoietic Stem Cells and Campath-1H,Northwestern University|National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),All,18 Years to 65 Years Â  (Adult),,230,Other|NIH,Interventional,Allocation: Non-Randomized|Intervention Model: Factorial Assignment|Masking: Open Label|Primary Purpose: Treatment,2R01DK025243-25A2|R01DK025243,8-Feb-08,7/1/07,2/1/21,7-Oct-16,Oct-16,No Study Results Posted,null,Feb-18,"The ability to withdraw immunosuppression as above 24 months post-transplant with follow-up to 10 years.|Patient and graft survival measured at the one-year timepoint post-transplant.|Patient and graft survival measured at the three year timepoint post-transplant..|Incidence rate of biopsy-proven acute rejection, defined as a renal biopsy demonstrating acute cellular or humoral rejection of Banff Grade IA or greater.|Incidence of chronic allograft nephropathy, determined using renal biopsies and laboratory values, including 24 hour urine protein excretion.|Incidence of graft versus host disease (GVHD).|Incidence of adverse events associated w/ renal transplantation and immunosuppression, including infections, malignancies, post transplant lymphoproliferative disease (PTLD), thromboembolic events, hyperlipidemia, leukopenia, thrombocytopenia, GI toxic",https://ClinicalTrials.gov/show/NCT00619528
182,NCT02623946,Motor Evoked Potentials as a Biomarker in Alemtuzumab Treated Multiple Sclerosis Patients,Recruiting,No Results Available,Multiple Sclerosis,,Clinique Neuro-Outaouais|CogState Ltd.,All,"18 Years and older Â  (Adult, Senior)",,10,Other|Industry,Observational,Observational Model: Cohort|Time Perspective: Prospective,CNO-004,30-Nov-15,11/1/15,2/1/21,26-Jul-16,Jul-16,No Study Results Posted,null,Dec-20,"intrapatient correlation coefficient of MEP's|Correlation coefficient between the mean group changes from baseline of MEP results and clinical measures (EDSS, 6MW, T25FWT, 9HPT)",https://ClinicalTrials.gov/show/NCT02623946
248,NCT02497404,Azacytidine Prior to in Vivo T-cell Depleted Allo Stem Cell Transplant for Patients With Myeloid Malignancies in CR,Recruiting,No Results Available,"Leukemia, Erythroblastic, Acute|Myelodysplastic Syndromes",Drug: 5-Azacytidine|Drug: Fludarabine|Drug: Melphalan|Drug: Alemtuzumab,Weill Medical College of Cornell University,All,"18 Years and older Â  (Adult, Senior)",Phase 2,55,Other,Interventional,Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment,1306014009,19-Feb-15,2/13/15,7/1/21,1-Mar-17,Mar-17,No Study Results Posted,null,Jun-18,disease free survival|Incidence and severity of acute and chronic GVHD|Engraftment and chimerism patterns|evaluate changes in global methylation,https://ClinicalTrials.gov/show/NCT02497404
316,NCT02179359,Hematopoietic Stem Cell Transplant for High Risk Hemoglobinopathies,Recruiting,No Results Available,Sickle Cell Disease|Transfusion Dependent Alpha- or Beta- Thalassemia|Diamond Blackfan Anemia|Paroxysmal Nocturnal Hemoglobinuria|Glanzmann Thrombasthenia|Severe Congenital Neutropenia|Shwachman-Diamond Syndrome|Non-Malignant Hematologic Disorders,Drug: Reduced Toxicity Ablative Regimen|Drug: Reduced Intensity Preparative Regimen|Drug: Myeloablative Preparative Regimen,"Masonic Cancer Center, University of Minnesota",All,"up to 55 Years Â  (Child, Adult)",,25,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment,2014OC034|MT2014-10C,27-Jun-14,9/2/14,8/1/21,17-Feb-17,Feb-17,No Study Results Posted,null,Aug-19,incidence of graft failure|overall survival|disease free survival,https://ClinicalTrials.gov/show/NCT02179359
245,NCT02105766,Nonmyeloablative Peripheral Blood Mobilized Hematopoietic Precursor Cell Transplantation for Sickle Cell Disease and Beta-thalassemia in People With Higher Risk of Transplant Failure,Recruiting,No Results Available,Sickle Cell Disease|Thalassemia|Stem Cell Transplantation|Graft vs Host Disease,Drug: Alemtuzumab|Drug: Sirolimus|Drug: Cyclophosphamide|Drug: Pentostatin|Drug: Radiotherapy,"National Heart, Lung, and Blood Institute (NHLBI)|National Cancer Institute (NCI)|National Institutes of Health Clinical Center (CC)",All,"16 Years to 80 Years Â  (Child, Adult, Senior)",Phase 1|Phase 2,162,NIH,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment,140077|14-H-0077,1-Apr-14,3/13/14,8/31/21,24-Jan-17,25-Nov-16,No Study Results Posted,null,31-Aug-21,"Determine regimen failure rate, defined as graft rejection, severe GVHD (acute GVHD grade 3 or higher or extensive chronic GVHD), or prolonged donor red cell aplasia ( greater than 2 years post -HSCT)|Examine the level of chimerism required to maintain both graft survival as well as hematologic normalcy using a regimen containing pentostatin, cyclophosphamide, alemtuzumab, and low total body irradiation.",https://ClinicalTrials.gov/show/NCT02105766
89,NCT02689453,Subcutaneous Recombinant Human IL-15 (s.c. rhIL-15) and Alemtuzumab for People With Refractory or Relapsed Chronic and Acute Adult T-cell Leukemia (ATL),Recruiting,No Results Available,"Leukemia, Adult T-Cell|HTLV I Associated T Cell Leukemia|Adult T-Cell Leukemia (ATL)",Biological: IL-15 plus alemtuzumab,National Cancer Institute (NCI)|National Institutes of Health Clinical Center (CC),All,"18 Years to 100 Years Â  (Adult, Senior)",Phase 1,30,NIH,Interventional,Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment,160062|16-C-0062,20-Feb-16,1/28/16,1/31/22,24-Jan-17,14-Dec-16,No Study Results Posted,null,15-Feb-20,Determine MTD and DLTs of s.c. rhIL-15 administered with 3 times per week IV Alemtuzumab|Clinical response rate and progression free survival,https://ClinicalTrials.gov/show/NCT02689453
266,NCT01625351,A Study of CD45RA+ Depleted Haploidentical Stem Cell Transplantation in Children With Relapsed or Refractory Solid Tumors and Lymphomas,Recruiting,No Results Available,Ewing Sarcoma|Gastrointestinal Tumor|Germ Cell Tumor|Hepatic Tumor|Lymphoma|Wilms Tumor|Rhabdoid Tumor|Clear Cell Carcinoma|Renal Cell Carcinoma|Melanoma|Neuroblastoma|Rhabdomyosarcoma|Non-rhabdomyosarcoma,Drug: alemtuzumab|Drug: fludarabine|Drug: sirolimus|Drug: Busulfan|Drug: melphalan|Biological: stem cells|Device: CliniMACS,"St. Jude Children's Research Hospital|CURE Childhood Cancer, Inc.",All,"2 Years to 21 Years Â  (Child, Adult)",Phase 1,24,Other,Interventional,Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment,RADIANT|NCI-2012-00588,19-Jun-12,8/20/12,7/31/22,30-Mar-17,Oct-16,No Study Results Posted,null,31-Jul-17,Feasibility of haploidentical HSCT|hematopoietic cell recovery and engraftment rates|infection rates and complications|overall survival (OS)|event-free survival,https://ClinicalTrials.gov/show/NCT01625351
324,NCT01949129,Allogeneic Stem Cell Transplantation for Children and Adolescents With Acute Lymphoblastic Leukaemia,Recruiting,No Results Available,Acute Lymphoblastic Leukaemia,Drug: VP16|Radiation: TBI|Drug: Thiotepa|Drug: Treosulfan|Drug: Fludarabine|Drug: Busulfan,St. Anna Kinderkrebsforschung|ALL SCTped Forum,All,"6 Months to 18 Years Â  (Child, Adult)",Phase 2|Phase 3,1000,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment,ALL SCTped FORUM 2012,9-Sep-13,4/1/13,4/1/23,15-Feb-16,Feb-16,No Study Results Posted,null,Apr-18,Overall Survival (OS) Stratum 1 (randomisation TBI+ chemo-conditioning vs. chemo-conditioning only)|Event free survival (EFS) Stratum 2 (mismatched donor transplantation)|EFS (Stratum 1)|Cumulative Incidence of Treatment-related mortality (TRM) for Stratum 1 and 2|Cumulative Incidence of Relapse for Stratum 1 and 2|acute and late toxicity for Stratum 1 and 2|OS (Stratum 2),https://ClinicalTrials.gov/show/NCT01949129
175,NCT00426517,Donor Stem Cell Transplantation for Congenital Immunodeficiencies,Recruiting,No Results Available,Inherited Immune Deficiencies,"Drug: Fludarabine|Drug: Total Body Irradiation, Busulfan, Campath-1H, or h-ATG, Fludarabine|Drug: Sirolimus or equivalent based on response|Drug: Granulocyte Colony Stimulating Factor (G-CSF)|Other: hematopoietic progenitor cells",National Institute of Allergy and Infectious Diseases (NIAID)|National Institutes of Health Clinical Center (CC),All,"2 Years to 65 Years Â  (Child, Adult)",Early Phase 1,100,NIH,Interventional,Intervention Model: Factorial Assignment|Masking: No masking|Primary Purpose: Treatment,070075|07-I-0075,23-Jan-07,1/19/07,12/1/23,24-Jan-17,1-Dec-16,No Study Results Posted,null,1-Dec-20,"The primary objective for this study is to evaluate the use of immunosuppressive drugs such as Campath -1H or h-ATG, fludarabine, and sirolimus in conjunction with a novel busulfan-based conditioning regimen with or without the addition of radia...|To measure the engraftment rate and the engraftment kinetics using such a regimen|To further elucidate the required dose levels of busulfan as compared to historical controls in conditioning regimens for transplantation in general|To assess the level and kinetics of immune reconstitution when using these conditioning regimens. To further elucidate the factors involved in the development of graft versus host disease.",https://ClinicalTrials.gov/show/NCT00426517
285,NCT02162420,Hematopoietic Stem Cell Transplant for Dyskeratosis Congenita or Severe Aplastic Anemia,Recruiting,No Results Available,Dyskeratosis Congenita|Aplastic Anemia,Drug: Alemtuzumab|Drug: Fludarabine|Drug: Cyclophosphamide|Radiation: Total Body Irradiation|Biological: Stem Cell Transplant|Drug: Anti-thymocyte globulin,"Masonic Cancer Center, University of Minnesota",All,"up to 70 Years Â  (Child, Adult, Senior)",,50,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,2013OC127|MT2013-34C,10-Jun-14,1/1/15,7/1/24,15-Aug-16,Aug-16,No Study Results Posted,null,Jul-24,Incidence of neutrophil engraftment|Incidence of regimen related mortality|Incidence of acute graft-versus-host disease|Incidence of chronic graft-versus-host disease,https://ClinicalTrials.gov/show/NCT02162420
321,NCT01459107,Human Upper Extremity Allotransplantation,Recruiting,No Results Available,"Amputation, Traumatic|Wounds and Injuries|Hand Injuries",Procedure: Deceased donor hand transplantation|Drug: Bone marrow cell-based therapy & single-drug immunosuppression.,Johns Hopkins University|Armed Forces Institute of Regenerative Medicine|U.S. Army Medical Research Acquisition Activity,All,"18 Years to 69 Years Â  (Adult, Senior)",Phase 2,30,Other|U.S. Fed,Interventional,Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,NA_00046418,29-Sep-11,7/1/11,6/1/26,8-Mar-16,Mar-16,No Study Results Posted,null,Jun-21,Graft Survival|Documentation of immunosuppression required by transplanted participants to maintain graft.,https://ClinicalTrials.gov/show/NCT01459107
313,NCT01889381,Human Craniomaxillofacial Allotransplantation,Recruiting,No Results Available,Facial Injuries|Traumatic Wounds and Injuries|Craniofacial Injuries|Craniofacial Defects,Drug: Bone marrow cell-based therapy & 1-drug immunosuppression.,Johns Hopkins University,All,18 Years to 60 Years Â  (Adult),Phase 2,15,Other,Interventional,Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,NA_00067257,26-Jun-13,8/1/12,8/1/26,8-Mar-16,Mar-16,No Study Results Posted,null,Aug-21,Graft Survival|Documentation of immunosuppression required by transplanted participants to maintain graft.,https://ClinicalTrials.gov/show/NCT01889381
308,NCT03077542,Nonmyeloablative Haploidentical Peripheral Blood Mobilized Hematopoietic Precursor Cell Transplantation for Sickle Cell Disease,Recruiting,No Results Available,Sickle Cell Disease,Procedure: haploidentical stem cell transplant|Drug: sirolimus|Drug: campath|Drug: pentostatin|Drug: cyclophosphamide,"National Heart, Lung, and Blood Institute (NHLBI)|National Institutes of Health Clinical Center (CC)",All,"2 Years to 80 Years Â  (Child, Adult, Senior)",Phase 1|Phase 2,84,NIH,Interventional,Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment,170069|17-H-0069,10-Mar-17,3/8/17,8/31/26,15-Mar-17,14-Mar-17,No Study Results Posted,null,30-Sep-25,"The percentage of patients at 100 days (+/- 1 week) post-transplantwith sustained donor type hemoglobin on hemoglobin electrophoresis (HbS less than 50% when donors have sickle cell trait and <10% when donors have normal hemoglobin), who d...|The level of chimerism required to maintain both graft survival as wellas hematologic normalcy.",https://ClinicalTrials.gov/show/NCT03077542
279,NCT01247701,Umbilical Cord Blood Transplant for Children With Myeloid Hematological Malignancies,Recruiting,No Results Available,Myeloid Hematological Malignancies,Drug: Busulfan|Drug: Cyclophosphamide|Drug: Fludarabine|Procedure: Cord Blood Stem Cell Infusion,"Baylor College of Medicine|Texas Children's Hospital|Center for Cell and Gene Therapy, Baylor College of Medicine",All,up to 17 Years Â  (Child),,20,Other,Interventional,Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment,26558-UCAML,22-Nov-10,11/1/10,11/1/27,27-Feb-17,Feb-17,No Study Results Posted,UCAML,Nov-24,Overall survival at 1 year after UCB transplant in pediatric patients.|Number of participants with severe acute GVHD Grade III-IV as an assessment of safety.|Number of participants with chronic GvHD as an assessment of safety.|Assess relapse rate after transplant.|To evaluate donor engraftment after transplant.|Assessment of platelet count recovery.|Assessment of neutrophil count recovery.,https://ClinicalTrials.gov/show/NCT01247701
291,NCT02629120,High Dose Peripheral Blood Stem Cell Transplantation With Post Transplant Cyclophosphamide for Patients With Chronic Granulomatous Disease,Recruiting,No Results Available,X-Linked Chronic Granulomatious Disease,Drug: Campath|Drug: Busulfan|Other: allogeneic peripheral blood allograft infusion|Drug: cyclophosphamide,National Institute of Allergy and Infectious Diseases (NIAID)|National Institutes of Health Clinical Center (CC),All,"4 Years to 65 Years Â  (Child, Adult)",Early Phase 1,50,NIH,Interventional,Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment,160032|16-I-0032,10-Dec-15,12/3/15,12/1/30,24-Jan-17,2-Nov-16,No Study Results Posted,null,1-Dec-25,Reduced incidence of graft failure or rejection (Engraftment as defined by >20% engraftment by oxidase positive neutrophils in at least 95% of participants by Day 100)|Same or reduced rate of Graft versus Host Disease of <10%|Establish stable mixed chimerism.|Improve rapidity of immune reconstitution.,https://ClinicalTrials.gov/show/NCT02629120
199,NCT01659606,Radiation- and Alkylator-free Bone Marrow Transplantation Regimen for Patients With Dyskeratosis Congenita,Recruiting,No Results Available,Dyskeratosis Congenita|Hoyeraal Hreidarsson Syndrome|Revesz Syndrome|Aplastic Anemia,Biological: alemtuzumab|Drug: Fludarabine|Drug: Cyclosporins|Drug: Mycophenolate mofetil,"Boston Childrenâ€™s Hospital|Dana-Farber Cancer Institute|Children's Hospital Medical Center, Cincinnati|Children's Hospital Los Angeles",All,"up to 65 Years Â  (Child, Adult)",Phase 2,20,Other,Interventional,Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment,12-950|IRB-P00003466,6-Aug-12,7/1/12,12/1/34,27-Jan-17,Jan-17,No Study Results Posted,null,Dec-19,Primary engraftment|Survival to day+100 post-BMT|Viral reactivation and infection|Treatment related adverse events as assessed by CTCAE version 4.0|Secondary graft failure|Acute and chronic graft-versus-host disease (GVHD)|Engraftment monitoring (chimerism)|Immune reconstitution as assessed by quantitation of lymphocyte subsets|Changes in pulmonary function as assessed by pulmonary function testing|Secondary malignancies|Long-term survival,https://ClinicalTrials.gov/show/NCT01659606
125,NCT00048412,Stem Cell Transplant for Patients With Blood Malignancy Using Donors and Less Toxic Chemotherapy With CAMPATH 1H,Completed,No Results Available,Myelodysplastic Disorders|Leukemia|Multiple Myeloma|Plasma Cell Dyscrasia|Lymphoproliferative Disorders,Drug: FLUDARABINE|Drug: CAMPATH 1H|Drug: FK50|Procedure: Stem Cell Collection and Infusion,"Baylor College of Medicine|The Methodist Hospital System|Texas Children's Hospital|Center for Cell and Gene Therapy, Baylor College of Medicine",All,"up to 70 Years Â  (Child, Adult, Senior)",Phase 1|Phase 2,40,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment,H8714|DIMSUM,30-Oct-02,6/1/00,null,9-Apr-07,Apr-07,No Study Results Posted,null,null,,https://ClinicalTrials.gov/show/NCT00048412
293,NCT00040469,Bone Marrow Transplant From Related Donor for Patients With High Risk Hemoglobinopathies,Terminated,No Results Available,Sickle Cell Anemia|Hemoglobinopathy|Thalassemia,Drug: Campath -1H|Drug: Dilantin|Drug: Busulfan|Drug: Cyclophosphamide,"Baylor College of Medicine|The Methodist Hospital System|Texas Children's Hospital|Center for Cell and Gene Therapy, Baylor College of Medicine",All,"up to 64 Years Â  (Child, Adult)",Phase 2,15,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,H6847|Scallo2,26-Jun-02,8/1/00,null,9-Apr-07,Apr-07,No Study Results Posted,null,null,,https://ClinicalTrials.gov/show/NCT00040469
309,NCT00040417,Bone Marrow Transplant From Donor Using Less Toxic Conditioning for Patient With High Risk Hemoglobinopathies,Terminated,No Results Available,Sickle Cell Anemia|Hemoglobinopathy|Thalassemia,Drug: FLUDARABINE|Drug: CAMPATH-IH|Procedure: Total Body Irradiation|Drug: FK506|Drug: G-SCF (Granulocyte-colony stimulating factor),Baylor College of Medicine|Texas Children's Hospital|The Methodist Hospital System,All,"up to 65 Years Â  (Child, Adult)",Phase 2,15,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,H8750|Smallo,26-Jun-02,8/1/00,null,9-Apr-07,Apr-07,No Study Results Posted,null,null,,https://ClinicalTrials.gov/show/NCT00040417
127,NCT00048399,"Stem Cell Transplantation for Patients With Graft Failure Following an Allogeneic Transplant, Using Identical or Near Identical Donors and Less Toxic Conditioning With CAMPATH 1H",Terminated,No Results Available,Graft Failure,Drug: Fludarabine|Drug: CAMPATH 1H|Drug: FK506|Procedure: Stem Cell Transplantation,Baylor College of Medicine|The Methodist Hospital System|Texas Children's Hospital,All,"up to 64 Years Â  (Child, Adult)",Phase 1|Phase 2,40,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment,H9446|CAMGRAFT,30-Oct-02,12/1/00,null,9-Apr-07,Apr-07,No Study Results Posted,null,null,,https://ClinicalTrials.gov/show/NCT00048399
166,NCT00006390,Alemtuzumab Plus Peripheral Stem Cell Transplantation in Treating Patients With Chronic Lymphocytic Leukemia,Completed,No Results Available,Leukemia,Biological: alemtuzumab|Biological: filgrastim|Drug: cyclophosphamide|Procedure: peripheral blood stem cell transplantation|Radiation: radiation therapy,Eastern Cooperative Oncology Group|National Cancer Institute (NCI),All,18 Years to 65 Years Â  (Adult),Phase 2,null,Other|NIH,Interventional,Masking: Open Label|Primary Purpose: Treatment,CDR0000068272|ECOG-8998,4-Oct-00,2/1/01,null,26-Jan-10,Jan-10,No Study Results Posted,null,Dec-04,,https://ClinicalTrials.gov/show/NCT00006390
